ip41		ip42	
1.6	1	2.4	1.1765
1.31	2	43.070004	2.353
1.64	3	22.650003	3.5295
1.4	4	6.77	4.706
1.3	5	3.65	5.8825
1.3	6	4.44	7.059
1.3	7	4.12	8.2355
1.2	8	2.21	9.412
1.14	9	2.6	10.5885
1.16	10	42.25	11.765
1.13	11	22.760004	12.9415
1.15	12	3.199999	14.118
1.13	13	4.609999	15.2945
1.12	14	5.17	16.471
1.13	15	2.679999	17.6475
1.1	16	42.330002	18.824
1.1	17	22.789999	20.0005
1.13	18	6.72	21.177
1.1	19	4.14	22.3535
1.12	20	42.48	23.53
1	21	22.620003	24.7065
1.1	22	6.489999	25.883
1	23	4.509999	27.0595
1.1	24	5.349999	28.236
1.1	25	4.05	29.4125
1.1	26	3.51	30.589
1	27	43.719994	31.7655
1.1	28	25.210001	32.942
1	29	4.53	34.1185
1	30	42.959995	35.295
1	31	24.320002	36.4715
1.2	32	7.82	37.648
1.2	33	4.389999	38.8245
1.2	34	41.719994	40.001
1.1	35	24.93	41.1775
1.2	36	3.809999	42.354
1.2	37	4.579999	43.5305
1.2	38	42.899998	44.707
1.2	39	23.290001	45.8835
1.2	40	5.45	47.06
1.2	41	3.96	48.2365
1.2	42	44.019993	49.413
1.2	43	24.559999	50.5895
1.2	44	44.71999	51.766
1.2	45	24.190006	52.9425
1.2	46	43.659992	54.119
1.2	47	61.649986	55.2955
1.2	48	62.269981	56.472
1.1	49	58.639984	57.6485
1.1	50	55.509987	58.825
1.1	51	57.649982	60.0015
3.02	52	57.589985	61.178
3.95	53	59.939983	62.3545
5.8	54	52.179985	63.531
5.329999	55	66.489983	64.7075
7.820001	56	32.330002	65.884
6.38	57	48.019989	67.0605
6.72	58	60.009979	68.237
6.850001	59	58.21999	69.4135
6.2	60	61.739979	70.59
14.960001	61	61.499981	71.7665
27.299999	62	56.769978	72.943
41.079998	63	59.789978	74.1195
3.63	64	65.969978	75.296
3.789999	65	42.139992	76.4725
3.08	66	46.139984	77.649
3.91	67	62.509979	78.8255
1.6	68	60.589973	80.002
1.7	69	62.869984	81.1785
1.7	70	60.469978	82.355
1.68	71	61.339977	83.5315
1.7	72	62.849983	84.708
1.7	73	62.719971	85.8845
13.370001	74	69.769966	87.061
27.939999	75	31.450006	88.2375
25.130001	76	21.170017	89.414
3.95	77	44.779991	90.5905
5.06	78	61.059975	91.767
5.08	79	60.589977	92.9435
4.31	80	59.959972	94.12
7.32	81	56.47998	95.2965
9.370002	82	58.699989	96.473
9.620001	83	61.159981	97.6495
6.070001	84	63.049976	98.826
8.120001	85	61.989983	100.0025
9.990001	86	54.999989	101
4.8	87	35.939999	102
13.430002	88	22.470016	103
42.829994	89	5.319999	104
24.750002	90	5.5	105
5.25	91	5.649998	106
3.22	92	5.439998	107
1.9	93	5.679998	108
2.2	94	5.499999	109
1.6	95	5.999999	110
1.51	96	6.099999	111
1.7	97	5.99	112
1.6	98	5.7	113
1.74	99	5.99	114
1.8	100	5.8	115
12.240001	101	5.900001	116
17.620003	102	6	117
14.800001	103	5.920001	118
8.130001	104	5.7	119
10.020002	105	5.900001	120
6.33	106	5.2	121
4.549999	107	4.599999	122
1.6	108	4.7	123
1.7	109	4.8	124
1.7	110	4.7	125
1.7	111	4.599999	126
1.7	112	4	127
1.7	113	4	128
1.73	114	4.2	129
1.7	115	4.099999	130
1.8	116	3.8	131
1.8	117	3.9	132
1.7	118	3.169999	133
1.8	119	3.339999	134
1.7	120	3.339999	135
1.8	121	3.4	136
1.7	122	2.9	137
1.7	123	2.9	138
1.8	124	2.9	139
1.7	125	2.9	140
1.8	126	2.9	141
1.7	127	2.4	142
1.71	128	1.8	143
1.8	129	1.8	144
1.7	130	1.8	145
1.1	131	1.62	146
1.1	132		
1.1	133		
1.1	134		
1.1	135		
1.1	136		
1.1	137		
1.1	138		
1.1	139		
1.1	140		
1.1	141		
1.1	142		
1.1	143		
1.1	144		
1.1	145		
0.99	146		
